page,page_number,region_id,region_role,reading_order_start,reading_order_end,child_box_ids,bbox,quality_score,needs_review,review_reasons,suggested_actions,merge_reasons,text_preview
page_0012,12,page_0012_region_001,body_text,1,3,page_0012_raw_0138|page_0012_raw_0142|page_0012_raw_0141,"(330, 236, 1307, 1698)",0.75,True,region_covers_large_page_area,review_split_region,start_region|contiguous_close_boxes,
page_0012,12,page_0012_region_002,body_text,4,4,page_0012_raw_0137,"(326, 261, 1291, 1134)",1.0,False,,,new_region_after_gap_or_column_change,
page_0012,12,page_0012_region_003,content_block,5,5,page_0012_raw_0139,"(755, 1161, 894, 1194)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0012,12,page_0012_region_004,content_block,6,6,page_0012_raw_0140,"(735, 221, 871, 253)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0013,13,page_0013_region_001,body_text,1,4,page_0013_raw_0146|page_0013_raw_0149|page_0013_raw_0147|page_0013_raw_0148,"(364, 261, 1334, 1756)",0.6,True,region_covers_large_page_area|multiple_low_layout_scores,review_split_region|review_boxes_or_redetect_layout,start_region|contiguous_close_boxes,
page_0013,13,page_0013_region_002,body_text,5,5,page_0013_raw_0144,"(370, 261, 1298, 873)",1.0,False,,,new_region_after_gap_or_column_change,
page_0013,13,page_0013_region_003,content_block,6,6,page_0013_raw_0145,"(786, 896, 923, 928)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0014,14,page_0014_region_001,content_block,1,2,page_0014_raw_0161|page_0014_raw_0150,"(324, 264, 1291, 438)",1.0,False,,,start_region|title_followed_by_body,
page_0014,14,page_0014_region_002,content_block,3,7,page_0014_raw_0158|page_0014_raw_0162|page_0014_raw_0152|page_0014_raw_0156|page_0014_raw_0153,"(305, 459, 1290, 1225)",0.78,True,mixed_multiple_titles_with_body,review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body|body_continuation,
page_0014,14,page_0014_region_003,content_block,8,10,page_0014_raw_0157|page_0014_raw_0155|page_0014_raw_0160,"(331, 1258, 1291, 1485)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
