page,label,cls_id,score,x1,y1,x2,y2,width,height
page_0003,number,3,0.8211987018585205,802.9467163085938,1780.2275390625,819.9925537109375,1800.846923828125,17.04583740234375,20.619384765625
page_0003,text,2,0.46002689003944397,334.8094177246094,1307.2939453125,1294.2120361328125,1422.9591064453125,959.4026184082031,115.6651611328125
page_0003,text,2,0.4450923204421997,369.51251220703125,1525.6727294921875,581.2796630859375,1627.480712890625,211.76715087890625,101.8079833984375
page_0003,text,2,0.44285377860069275,581.9878540039062,1453.369873046875,1225.69482421875,1498.0977783203125,643.7069702148438,44.7279052734375
page_0003,image,1,0.42005831003189087,332.97454833984375,277.92535400390625,1296.428466796875,1631.2542724609375,963.4539184570312,1353.3289184570312
page_0003,doc_title,10,0.3922847509384155,592.684814453125,408.58782958984375,1060.8369140625,482.4417419433594,468.152099609375,73.85391235351562
page_0003,text,2,0.3900672197341919,538.2164306640625,976.5471801757812,1228.718017578125,1021.7529296875,690.5015869140625,45.20574951171875
page_0003,text,2,0.38956162333488464,336.078125,1111.8262939453125,1297.2236328125,1220.9566650390625,961.1455078125,109.13037109375
page_0003,paragraph_title,0,0.38648632168769836,759.5396728515625,1248.4869384765625,875.6942138671875,1280.622314453125,116.154541015625,32.1353759765625
page_0003,doc_title,10,0.366880863904953,591.7557373046875,278.5892028808594,1061.3255615234375,483.9546203613281,469.56982421875,205.36541748046875
page_0003,text,2,0.345867782831192,767.0681762695312,914.3651733398438,879.457275390625,946.852294921875,112.38909912109375,32.48712158203125
page_0003,text,2,0.3369048833847046,763.1827392578125,1051.7196044921875,877.88818359375,1084.993408203125,114.7054443359375,33.2738037109375
page_0003,doc_title,10,0.33481305837631226,659.73974609375,280.1199035644531,993.1832275390625,352.471435546875,333.4434814453125,72.35153198242188
page_0003,text,2,0.30760666728019714,404.343017578125,1588.7166748046875,544.1790771484375,1627.5609130859375,139.8360595703125,38.84423828125
page_0003,text,2,0.30085188150405884,343.0411682128906,706.5256958007812,1233.0634765625,815.362548828125,890.0223083496094,108.83685302734375
page_0003,text,2,0.30036962032318115,370.1186828613281,1526.396240234375,580.876708984375,1567.556884765625,210.75802612304688,41.16064453125
page_0003,text,2,0.2981775999069214,1031.537841796875,575.21142578125,1231.999267578125,615.3433837890625,200.46142578125,40.1319580078125
page_0003,formula,7,0.2931225299835205,334.75396728515625,559.4979248046875,1297.7606201171875,1610.3648681640625,963.0066528320312,1050.866943359375
page_0003,text,2,0.29209908843040466,928.3762817382812,641.042724609375,1232.0018310546875,685.6660766601562,303.62554931640625,44.62335205078125
page_0003,text,2,0.28744637966156006,730.5729370117188,842.7503662109375,914.0291137695312,883.3949584960938,183.4561767578125,40.64459228515625
page_0003,text,2,0.26790839433670044,341.46685791015625,572.6453247070312,1235.220458984375,817.4148559570312,893.7536010742188,244.76953125
page_0003,text,2,0.2565719485282898,1124.388427734375,1380.6077880859375,1291.094482421875,1422.7823486328125,166.7060546875,42.174560546875
page_0003,text,2,0.25031936168670654,335.0877380371094,1308.171142578125,1225.087890625,1357.7645263671875,890.0001525878906,49.5933837890625
page_0004,text,2,0.958302915096283,353.1641845703125,843.6434326171875,1319.0850830078125,1001.4036254882812,965.9208984375,157.76019287109375
page_0004,text,2,0.9506476521492004,358.2760314941406,1363.5755615234375,1323.031982421875,1465.831787109375,964.7559509277344,102.2562255859375
page_0004,text,2,0.912895143032074,360.0869445800781,1557.5224609375,1317.4571533203125,1720.1025390625,957.3702087402344,162.580078125
page_0004,text,2,0.8624343872070312,355.4311218261719,1102.9654541015625,1315.3040771484375,1263.3074951171875,959.8729553222656,160.342041015625
page_0004,paragraph_title,0,0.798930287361145,779.9937744140625,1039.0333251953125,893.117919921875,1070.32373046875,113.1241455078125,31.2904052734375
page_0004,number,3,0.7635974884033203,836.0015258789062,1777.7835693359375,847.0056762695312,1798.8165283203125,11.004150390625,21.032958984375
page_0004,paragraph_title,0,0.754129946231842,786.4183349609375,1499.4942626953125,897.8408813476562,1528.1351318359375,111.42254638671875,28.640869140625
page_0004,paragraph_title,0,0.744592010974884,780.4558715820312,1299.6346435546875,895.7908325195312,1329.2830810546875,115.3349609375,29.6484375
page_0004,image,1,0.4717876613140106,380.7580871582031,252.05958557128906,1266.1458740234375,805.982421875,885.3877868652344,553.9228363037109
page_0004,figure_title,6,0.41266581416130066,777.5193481445312,772.193603515625,889.7860107421875,805.7167358398438,112.26666259765625,33.52313232421875
page_0004,text,2,0.2569800019264221,746.939208984375,692.5629272460938,914.2024536132812,749.0079345703125,167.26324462890625,56.44500732421875
