label,cls_id,score,x1,y1,x2,y2,width,height
number,3,0.5524613261222839,523.311279296875,34.46687316894531,549.104736328125,46.63632583618164,25.79345703125,12.169452667236328
header,12,0.521155595779419,82.9332504272461,34.171173095703125,500.17657470703125,55.078529357910156,417.24332427978516,20.90735626220703
text,2,0.4496289789676666,30.2066593170166,53.741634368896484,282.06756591796875,785.6307983398438,251.86090660095215,731.8891639709473
text,2,0.4117678999900818,30.5268611907959,67.2742691040039,277.8796691894531,155.29721069335938,247.35280799865723,88.02294158935547
algorithm,13,0.39683568477630615,28.4230899810791,38.28486251831055,557.3525390625,799.37158203125,528.9294490814209,761.0867195129395
text,2,0.3924415409564972,321.1011047363281,449.8918762207031,557.1600952148438,676.5376586914062,236.05899047851562,226.64578247070312
text,2,0.3911467492580414,309.87799072265625,383.7618103027344,393.0589294433594,420.04193115234375,83.18093872070312,36.280120849609375
text,2,0.3777448534965515,31.181169509887695,216.6538543701172,278.84930419921875,301.2544250488281,247.66813468933105,84.60057067871094
text,2,0.37720197439193726,308.97576904296875,236.4280242919922,555.23974609375,287.01806640625,246.26397705078125,50.59004211425781
text,2,0.3758735656738281,308.0398864746094,64.06705474853516,555.753662109375,421.4625244140625,247.71377563476562,357.39546966552734
text,2,0.373922735452652,309.000244140625,294.60809326171875,555.082763671875,347.05023193359375,246.08251953125,52.442138671875
paragraph_title,0,0.3737368881702423,121.50212097167969,164.937255859375,184.65049743652344,183.90777587890625,63.14837646484375,18.97052001953125
paragraph_title,0,0.36714330315589905,87.7436294555664,190.5943145751953,219.28746032714844,211.76129150390625,131.54383087158203,21.166976928710938
text,2,0.3599689304828644,310.8061218261719,65.50115966796875,554.7965087890625,202.87551879882812,243.99038696289062,137.37435913085938
text,2,0.3597458302974701,32.21397018432617,336.20599365234375,279.52960205078125,468.7220153808594,247.31563186645508,132.51602172851562
paragraph_title,0,0.3496478199958801,398.8127136230469,210.94912719726562,464.9501953125,229.9019317626953,66.13748168945312,18.952804565429688
text,2,0.3396378755569458,311.14556884765625,354.33551025390625,554.4635620117188,375.252197265625,243.3179931640625,20.91668701171875
text,2,0.3334607481956482,310.34442138671875,679.5166015625,557.4984741210938,745.9442749023438,247.154052734375,66.42767333984375
text,2,0.3233465552330017,300.9194641113281,46.855411529541016,557.5818481445312,806.9221801757812,256.6623840332031,760.0667686462402
text,2,0.31867098808288574,32.49882507324219,623.3016357421875,279.1092224121094,692.712890625,246.6103973388672,69.4112548828125
text,2,0.31116169691085815,395.62353515625,181.9433135986328,554.6546020507812,202.5919647216797,159.03106689453125,20.648651123046875
text,2,0.30915579199790955,32.44276428222656,479.68133544921875,279.3314208984375,530.443359375,246.88865661621094,50.76202392578125
text,2,0.3064093589782715,31.658100128173828,121.45879364013672,277.0870361328125,154.46615600585938,245.42893600463867,33.007362365722656
text,2,0.30189022421836853,34.7891845703125,743.6997680664062,280.3822326660156,781.75927734375,245.59304809570312,38.05950927734375
text,2,0.3015396296977997,33.367671966552734,701.1079711914062,280.2117614746094,737.5216674804688,246.84408950805664,36.4136962890625
text,2,0.2982398271560669,32.42265701293945,538.6508178710938,279.6824951171875,588.908447265625,247.25983810424805,50.25762939453125
text,2,0.2838754653930664,469.7723693847656,156.42263793945312,554.1945190429688,174.4049835205078,84.42214965820312,17.982345581054688
text,2,0.2726866900920868,349.72930908203125,781.4384155273438,556.5012817382812,800.3640747070312,206.77197265625,18.9256591796875
text,2,0.26986539363861084,309.272216796875,354.2269287109375,554.7024536132812,420.41119384765625,245.43023681640625,66.18426513671875
text,2,0.26585692167282104,82.10054779052734,94.2417221069336,276.6874694824219,114.799560546875,194.58692169189453,20.557838439941406
paragraph_title,0,0.2609214782714844,50.00407791137695,597.0067749023438,278.65155029296875,619.4938354492188,228.6474723815918,22.487060546875
text,2,0.2568913400173187,348.38848876953125,754.9712524414062,557.2339477539062,800.6589965820312,208.845458984375,45.687744140625
text,2,0.25479716062545776,312.0444641113281,116.0360336303711,550.9885864257812,151.0593719482422,238.94412231445312,35.023338317871094
text,2,0.2547112703323364,308.40283203125,235.20790100097656,555.4317016601562,349.4576110839844,247.02886962890625,114.24971008300781
text,2,0.25181299448013306,129.99427795410156,67.86402130126953,276.8049621582031,86.61314392089844,146.81068420410156,18.749122619628906
paragraph_title,0,0.25072193145751953,87.8952865600586,165.67935180664062,219.5309600830078,211.71780395507812,131.63567352294922,46.0384521484375
